id,polarity,tidy_tweets
1467933112 , 0,angel go miss athlet weekend
2323395086 , 0,look though shaq get trade cleveland play lebron sun fan cactu
1467968979 , 0,april come soon enough
1990283756 , 0,drink mcdonald coffe understand someon would hurt appar reason
1988884918 , 0,dissapoint taylor swift doesnt twitter
1467984364 , 0,wish spring fling tour dawn neece sigh knight
1964951623 , 0,sniffl kid hubbi left work sydney weekend
1881133744 , 0,sydney miss friend especi
1753802024 , 0,xboxtweet work
1980497384 , 0,lebron kobe puppet commerci
1755405128 , 0,allergi suck sometim there super ador month beagl name sydney hang roomi friend
1966205498 , 0,broken iphon
2206224118 , 0,line mcdonald long sausag biscuit
1687790990 , 0,viru go around congest throw high fever
1963812485 , 0,scratch ipod
1467844505 , 0,understand realli
2258491381 , 0,hero love wanna brisvega sadli bank balanc wont
1468039375 , 0,hate fact genuin excit last tweet
2212063772 , 0,tula sick nausiou nasal congest headach bodyach nose run marathon theraflu pleas help
1557163971 , 0,hayfev time good
1975133437 , 0,wish divers like musician load stuff youtub
1932575931 , 0,cav lost game cav loss away trigger nuclear event would make hadron look like tiddlywink
  , 0,still sick feel better medicin hope feel good night sleep suppos snow
2324113552 , 0,work bone marrow case today cancer
1468042132 , 0,sleepless night
1467985185 , 0,disconcert
1980282216 , 0,forgot english coursework ipod banjax today
2179698078 , 0,seattl
1467985259 , 0,tweet arent go through
2299794306 , 0,calori gram carb mexi
1695998263 , 0,remind howard stern back oprah eat wish could find
2175909248 , 0,wonder alway warm leav london morn freez get woke
1467932979 , 0,hope get sick
1468036579 , 0,sayyyi whaaaa invit
1467913111 , 0,woke accid quot push push quot cri stop wet pant
1980105719 , 0,have angel nearli sadi daughter angel catch cancer joint failur
1556068472 , 0,usual dead rite skool monday oprah ellen kathi hoda wish went skool millisecond
2252521888 , 0,fever night
2063299796 , 0,invent hayfev
1989549312 , 0,wish cav final
1468031439 , 0,sure wish could guy tmrw usual school interfer
2202091896 , 0,hiya shame miss sydney sick heard yall rock miss parti invit
2200029856 , 0,wish microsoft never updat xbox live play cod4 live
1467876133 , 0,lost ring seen
2206892331 , 0,tri xbox live fail tremend brain ach
1882993898 , 0,told voic gone keep smokin cancer stick
1759089904 , 0,awhh go home vega go back june
2238285997 , 0,realli feel bout eat cheeseburg donut dinner need burn tomorrow darn mcdonald
1932332597 , 0,goooooood cav
1982348564 , 0,would hundr buck would cleveland final thought lebron year
2070393327 , 0,twitter trend piss oprah celeb total ruin twitter vibe
2250870150 , 0,haaattt hayfev piriton claritin antihistamin seem make differ
1680198701 , 0,peopl argentina obama next truth
2188709688 , 0,headach work morn busi tomorrow
1981120647 , 0,right lastnit game damn still love lebron
2182725318 , 0,england rubbish wrong captain wrong select onli batsmen jimmi anderson aw gut
1467930017 , 0,stuck home
2175776911 , 0,ohhh that still pink hair work
2188783186 , 0,london liverpool street time sort photograph start read robot didn find time coffe
2198021691 , 0,sadli obama later
2204513867 , 0,gone london
2001056928 , 0,cold here london aw humid sticki heat great work
2204488979 , 0,handi unfortun appear bork facebook statu column
1468014571 , 0,work laptop offici dead happi
1467837888 , 0,overr
1999578367 , 0,tyler perri first time voter australia wayyyi behind oprah
1976978005 , 0,guess cav
1467894749 , 0,wish home underneath cover
2016118429 , 0,sweet better game abl play anywher today
1558591211 , 0,careless wipe contact iphon
2057317515 , 0,urgh damn hayfev eye soooo itchi rub madli
1468006137 , 0,wrote exactli three line dialogu tonight gave
2204666389 , 0,mayb eat mcdonald down sherbet fountain wash warm coke feel queasi quit foami
1973089933 , 0,stress headach stress
1982967985 , 0,longer sunni seattl http sunnyinseattl
1468056316 , 0,homework gosh darn hard
1980316231 , 0,away englandshir gran grandad that lost rest week
1680347120 , 4,mcdonald litto cuzin cristyyyyi
1835259469 , 4,love card would definit hire
1983068285 , 4,enjoy experi youtub well done http 1a7zpw
1559842363 , 4,dalla vega good http twitpic 3lzt1 suscon
1999078293 , 4,amaz last chat facebook
2053185460 , 4,yuuuup mile cancer good deed
1565998071 , 4,love taylor swift quot crazier quot think definit cover beauti
2190562741 , 4,piec fri chicken
1973399754 , 4,brazil love much awesom miley come brazil thi come
1965391855 , 4,yeah awesom gonna oprah freakin yeah ninja roll chocol
1467987672 , 4,awwww call sexi nice rock danni made night gurl muah give prop anytim
2000270889 , 4,glass wine nice book chillax wait seattl probabl rain
1550736352 , 4,happen twitter hour follow count girlfriend
1967963720 , 4,laker go advanc final
1468005311 , 4,enjoy
1467990416 , 4,drew cute babi zebra think favorit
1468021160 , 4,went calgari lad gaspar boot watch flame versu king calgari nice night
1979149789 , 4,lol cav orlando own today
2050078540 , 4,pleas cougar town broadcast intern brazilian great
2046866302 , 4,taylor swift amaz music wonderful make happi
1467918096 , 4,fine tune part song maddi make sound good feel hahaha
2008626683 , 4,gran turismo ff13 what gran turismo perhap
1960821853 , 4,give time come london haha good luck
1467971939 , 4,hang biolog
1467917300 , 4,happi morn toat lumea
1548496948 , 4,watch oprah tape earlier twitter today
2067126108 , 4,chrisett michel came ipod mellow
1968082909 , 4,laker go final weee
2257073099 , 4,get hair text brother get updat iran basebal game love iphon
1467990301 , 4,want follow follow twitter nice organ
1468006104 , 4,rrrrrr sweet
2192673181 , 4,seattl nice green remind germani
2031911307 , 4,great song quot seattl best quot http blip 7mki1
1751574773 , 4,taylor swift think pretti make heart melt everytim face
2066535902 , 4,starbuck tan good start today
1759502287 , 4,happi back tarheel state even blue devil countri
1881097261 , 4,long till london babi emir sunday yeah cant wait
1824369536 , 4,back brazil last week everyon good here full forc prepar arriv
2011034549 , 4,good feel awak
1967926543 , 4,laker hahaah love
1468037411 , 4,pierc surpris fish today best mention remodel whole grate life
1467953838 , 4,still playin card girl
2189616175 , 4,great best friend watch pride prejudic mcdonald take funni video
1467936123 , 4,favorit show seri littl
1467841175 , 4,good becca good sleep
1967961954 , 4,yeah laker stinkin excit cav need shut magic best final possibl
1978262839 , 4,good morn
1685303578 , 4,forget dear alway mind heart kiss special affect brazil
1994187668 , 4,announc halo game bungi halo reach rumor true schedul 2010
1964959305 , 4,oprah would touch feminin side today sinc much even
1468039437 , 4,glad good time wntd someth nice
1967342614 , 4,laker half look good
1467990285 , 4,like school except even homework everyon nicer normal
1994142180 , 4,gameplay look awesom alway bungi
1994102754 , 0,crash franc aircraft brazil pari lost atlant
2267117862 , 0,vega helloo long drive home
1467973313 , 4,packag excit plant water till grow
2050433216 , 4,soccer england revolut rev taylor twellman
2211068713 , 0,girl better someth amaz atthi parad most likelythey ruin thebeauti thati goinon unfortun suck
2266149167 , 0,your page redirect nowher
2062485716 , 0,mcdonald hungri time
2266794704 , 0,hayfev ars ground hate
1467824856 , 4,love life love
1468000812 , 0,know dont know said
1685666978 , 0,miss realli hard colleg engg kothamangalam
2195338217 , 0,yeah tortur lynnde england anoth sick puppi
2223904374 , 0,lame said work saturday
1467986559 , 0,dunno forum frustrat miss talk
2218208927 , 0,ninong mike die yesterday pleas pray everyon facebook stat
2238654745 , 0,damn silverston wotya hold race travel back middl england booo
2249107903 , 0,continent check seatac brutal wait minut board pass print wors starbuck close
1978545952 , 0,poor cav hard work
2218188308 , 0,complet forgot trav want play xbox tonight
2008026571 , 0,forgot iphon home feel nake without
2188796341 , 0,go earli headach
2233530283 , 0,worri friend break laptop stolen noth els ipod nano left dine tabl data back
1932652218 , 0,prop pass even vote obama work magic
2187920291 , 0,go feel well today fever
2069563222 , 0,keep drink coffe wish starbuck
2060852332 , 0,threw grandma tonight need drink buddi brazil realli around corner
2068028521 , 0,exhaust brutal headach
2003014069 , 0,loss tough fan lebron inde http n9cr
2251419270 , 0,shini white 32gb iphon unbox need take place later prioriti
2253750161 , 0,jog isnt realli cool especi fever
2207540245 , 0,wait hope get facebook soon someth wrong though peopl write wall hope fix soon
1467854706 , 0,stuck awak middl night second felt terribl yesterday
2009988523 , 4,starbuck best work know get
2296424580 , 0,start think obama hype politician
2256282440 , 0,kelli clarkson alreadi thi go long ride scranton
1564688640 , 0,feel best friend skippi go london thank ruin
1685337831 , 0,wish fallout right
1467935628 , 4,sweet episod cagcast thnx cheapi
1836028000 , 4,http twitpic 56m0i realli nice gret brazil love doll
2204876460 , 0,gasp dananananaykroyd tour aussi grrr alway sydney melbz
1993817089 , 4,modern warfar gameplay look goood
2055745238 , 4,england rugbi play like well oil machin
2039738654 , 4,eat mcdonald watch work need start work flab look good beach lol
1977088625 , 0,magic laker babi happi interest match root
1974642639 , 4,love presid friend doesnt know presid thought said love obama haha
1468033194 , 0,sorri hear
2052051192 , 0,still fever
1978768368 , 0,guess cav lost
1976962520 , 0,ouchyyi booo headach go beed right even oouuuch
1967985329 , 4,west yeah laker
1975392285 , 0,ipod sick
1468021282 , 0,well suck
1467971217 , 4,never imagin follow thank even robot
2045381352 , 4,have nice time work
2254977181 , 0,glad today yesterday still shake headach
2069807761 , 4,starbuck sister learn phone
1881614899 , 0,sound yummi hate live practic noth
1467906151 , 0,lmao sorri poohpot
2326395653 , 0,realli sore throat think also fever good
1548528100 , 4,ashton go oprah hail twitter king
1468034673 , 0,listen bjork full love cri
2240602094 , 0,month cancer battl
2206742783 , 0,rain north effect record day seattl northend count
1467814180 , 0,week go hope
1467873227 , 0,realli cold want sleep noth
1828030638 , 4,think might hehe might watch sleepless seattl fave
1467971357 , 4,just sunshin clean love adam
2258562048 , 0,bore dude nobodi want take mcdonald
1467862213 , 0,realli think peopl choos think chose accept famili help might dead
1979900633 , 0,good cav lost
1468052063 , 0,kutner favorit team
1751036928 , 4,gonna havta temp stop fllwing talkin kobe loveeeeeee take person like lebron
1467989500 , 4,bedtim made anoth monday night tweet poof
1822865989 , 4,http twitpic 5c9g pictur taylor swift realli like pictur exact wall room
1963173652 , 0,anybodi advic print card besid overnight experi psprint card project
2058860624 , 0,listen taylor swift music make
1957158891 , 4,mcdonald coffe beat starbuck mile blind tast test
2266989055 , 0,happi father father unfortunatli celebrt die cancer
2050828881 , 4,youtub stori meteor garden hana yori dango must watch
2206318875 , 0,dream michel obama stalk tri flower broach
1467986614 , 4,found
1468037016 , 4,guipulp open
1559513777 , 0,find ipod just tore live room apart never found
1995955627 , 4,go brian graduat wear taylor swift design dress
1833721929 , 0,lmao throat hurt told gonna come back vega rhi trip
2177370539 , 4,soooo talent wish could concert miss taylor swift
1979514746 , 4,boat happili mcdonald close enjoy greasi breakfast
1977022578 , 0,think mari work monday night cav need miracl
2253406898 , 0,littl babi ear
2232292528 , 0,miss ipod life without
2003692932 , 0,ipod take note short attent span forgot time haircut done
1467936920 , 4,final almost home
2014223504 , 4,yeah dutch peopl well sydney
1467935121 , 0,wanna punk rock band
2255524419 , 0,run fever last night face
2231401627 , 0,facebook freak appar friend yesterday
1985624215 , 0,found broken pink ipod nano poor thing
1977105075 , 0,sorri hear bout cav
1564332091 , 4,know twitter go place oprah start tweet larri king
2196224069 , 0,damn boot xbox first time age live mainten
2014849041 , 0,need back england asap miser texa
2322706077 , 0,sunburn ever skin cancer credit pool volleybal
1694532379 , 4,nice skillz nick love alway marjori jemimah sydney australia
1467972258 , 4,thi ubuntu featur realli cool more
1467929915 , 0,bathtub drain fire fail drano still drain wanna shower dangit
1972285421 , 0,want taylor swift cours she sold
1467901351 , 4,lead cross favorit great
1835544596 , 0,depress could ever imagin go vega hate financi respons
2175347246 , 4,laker worldchhampion wooo dangg quot laker parad quot straight crazyy ahahaha
1881753278 , 0,mcdonald want star trek late time
1573717335 , 0,thi wario wish wario land game miss game last time play photo http bkite 06h8t
2220967351 , 0,wait till next week paid monday
1468022265 , 0,smug gone train also fail turn head victoria follow unpleas tube ride citi
2247048768 , 0,got headach babi eric fever cri fussi babi
2264791405 , 0,tri allow char number underscor jankowarpspe
1824687073 , 0,cancer deadli horribl diseas need unit fight cure cancer mani peopl lose fight
2071912209 , 4,what know laker haha yeaaaaah babi
1977489431 , 0,lebron tire total tell attitud tire
1998104602 , 0,hate eye dialat headach
1975783415 , 0,sit mcdonald bethani play tunnel miss wonder hubbi
1883408938 , 0,found realli tweet space shuttl someon nasa bummer diggin dude
1997997283 , 0,orang drink mcdonald http tinyurl l2m3hb
1822827385 , 0,hold threw underarm fever pleas pray sweet girl
1834389223 , 0,also sydney
